"txHash","blockNumber","to","from","value","currency","type"
"0xd3a63653b3cfea5c0c74756e1a2a82b0bc111b7520a9ccc67624606959978702","12212205","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","0xf05f5d4ad1b3fd5ad57ba5ca386d0db2e8b317aa","250000000000000000","ETH","IN"
"0x2c7d18b7c9e14c5483ecac18faa4b90808c48cf9fd899c4b4db012296c7fc76e","12567424","0x7a3949e4bc908dfa3d28f7c84b1fe2d1d5ddb3db","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","100000000000000000","ETH","OUT"
"0x9cb917b61499c6bf46e7ef44a62ae27ee993994d4c9765a2047cf3d59a978495","12568260","0xf296a467f6ce36edb2cf8763fc80cbeed9f0a175","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","100000000000000000","ETH","OUT"
"0x7a745c283fafca62f05acbce02bd75b13b6e32ae98f93f12f5eb454c74788207","12574201","0x4274a49fbeb724d75b8ba7bfc55fc8495a15ad1e","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","1000000000000000000","ETH","OUT"
"0xa55377162288357b8f9a0f3764445fe1458324b5302921a7163c2d608c7566ac","12574205","0xa68e764d8917d253f997df1fed1bda8b38a281c8","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","1000000000000000000","ETH","OUT"
"0xb37452f3d0de33e86adbfe4f3a568c35f27a21c7aac20cc9702a777fd525163f","12592089","0x3f36990f6b1400635f71bcaa6f4921463d61924c","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","1000000000000000000","ETH","OUT"
"0xce09e7230fbb2ebe639e36452bcc9bb9909af53c7d8f25bde3cd072cd7f10856","12594080","0x3f36990f6b1400635f71bcaa6f4921463d61924c","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","41000000000000000000","ETH","OUT"
"0x071074d15a4e336470fd8533d4501bd25de060088bf294f39ba67bde0fb03969","12598283","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","0x178e18480db18a8addd3df2b7191f5991b4d7716","100000000000000000","ETH","IN"
"0xaa403d4ac09be7705fc033a260b1ac3c2afec74cda645839735518c707367ad8","12599094","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","0x178e18480db18a8addd3df2b7191f5991b4d7716","68377362538913043675","ETH","IN"
"0x71e065d320645a58a45c4cf306f505a8d194b95f3b0bc47edc219e988a6dc3d8","12645996","0x752ff009185bb8eb30707cabac89311bc8f3a480","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","1000000000000000000","ETH","OUT"
"0x4eb6a611ae5f525fb87722cd99b1f3558c84cad237c5f5db7e6477ed82b568b7","12926061","0x52de8d3febd3a06d3c627f59d56e6892b80dcf12","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","1","ETH","OUT"
"0xed4da82238412f4d2d3a39f97aced20dd431806a265873a9f1fb962dd40a293f","12956588","0x7a250d5630b4cf539739df2c5dacb4c659f2488d","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","2688847449982723216","ETH","OUT"
"0x12f127c0ab3748ddaf6e291762062af45165d6d894da74b722d6c9851fb3e6c3","12959326","0xae15e700ebaef48fa7920ba40938eee3a88cc29c","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","3500000000000000000","ETH","OUT"
"0x2d960f625882cb9c8d3892e5ad134a519c52799a094a39b6e1ad0edd742f046a","12971120","0x7a250d5630b4cf539739df2c5dacb4c659f2488d","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","3398319443649205549","ETH","OUT"
"0x9cd2eda1b89bdf6f32f689faaea057c6a3415b12925a4ac6a097f4e4da130c64","12984376","0x7a250d5630b4cf539739df2c5dacb4c659f2488d","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","1299200828790029915","ETH","OUT"
"0xccf087c1537457c3679b52f04d8d7030f9e82915693f848d3146faab1049c926","12991902","0x7a250d5630b4cf539739df2c5dacb4c659f2488d","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","1295730329842941667","ETH","OUT"
"0x1ece056cae4956d8083d68e901de0236f220771afcbce816485023d2562ae531","12212652","0x2d69bab9738b05048be16de3e5e0a945b8eeef3a","0x35862ae7e70af9e0fff4a0ece8aa5470207468ac","20000000000","USDT","OUT"
